red_fighter_name;blue_fighter_name;date;red_fighter_total_pts;blue_fighter_total_pts
BRUNNO FERREIRA;DUSTIN STOLTZFUS;06/08/2024;['-', '-', '-'];['-', '-', '-']
ALEX PEREZ;TATSURO TAIRA;06/15/2024;['10', '10', '10'];['9', '9', '9']
ADRIAN YANEZ;GUSTAVO LOPEZ;03/20/2021;['20', '20', '20'];['18', '18', '18']
TRACY CORTEZ;JASMINE JASUDAVICIUS;09/16/2023;['30', '30', '29'];['27', '27', '28']
GERALDO DE FREITAS;TONY GRAVELY;11/14/2020;['27', '29', '28'];['30', '28', '29']
CLAUDIA GADELHA;YAN XIAONAN;11/07/2020;['28', '28', '28'];['29', '29', '29']
RAUL ROSAS JR.;TERRENCE MITCHELL;09/16/2023;['-', '-', '-'];['-', '-', '-']
TAMIRES VIDAL;RAMONA PASCUAL;11/05/2022;['-', '-', '-'];['-', '-', '-']
RANDA MARKOS;LUANA PINHEIRO;05/01/2021;['-', '-', '-'];['-', '-', '-']
JARED CANNONIER;DEREK BRUNSON;02/12/2022;['9', '9', '9'];['10', '10', '10']
DA-UN JUNG;SAM ALVEY;10/24/2020;['28', '28', '29'];['28', '29', '28']
PAT SABATINI;TRISTAN CONNELLY;04/24/2021;['29', '29', '30'];['28', '28', '27']
PHIL HAWES;ROMAN DOLIDZE;10/29/2022;['-', '-', '-'];['-', '-', '-']
TONY GRAVELY;ANTHONY BIRCHAK;04/17/2021;['10', '10', '10'];['9', '9', '8']
MICHAEL JOHNSON;JAMIE MULLARKEY;07/09/2022;['29', '28', '28'];['28', '29', '29']
BRAD TAVARES;GREGORY RODRIGUES;02/10/2024;['18', '19', '18'];['20', '19', '20']
MICHEL PEREIRA;MICHAL OLEKSIEICZUK;03/09/2024;['-', '-', '-'];['-', '-', '-']
ABDUL-KAREEM AL-SELWADY;LOIK RADZHABOV;03/02/2024;['19', '19', '19'];['19', '19', '19']
DEVIN CLARK;MARCIN PRACHNIO;02/10/2024;['27', '27', '27'];['30', '30', '30']
JESSICA PENNE;EMILY DUCOTE;07/16/2022;['28', '28', '27'];['29', '29', '30']
OSHUA VAN;FELIPE BUNES;01/13/2024;['9', '9', '9'];['10', '10', '10']
NASRAT HAQPARAST;RAFA GARCIA;03/13/2021;['30', '29', '29'];['27', '28', '28']
JONATHAN MARTINEZ;DAVEY GRANT;03/13/2021;['10', '10', '10'];['9', '9', '9']
DON'TALE MAYES;HAMDY ABDELWAHAB;07/30/2022;['28', '29', '28'];['29', '28', '29']
AMANDA LEMOS;MONTSERRAT CONEJO;07/17/2021;['-', '-', '-'];['-', '-', '-']
ROXANNE MODAFFERI;CASEY O'NEILL;02/12/2022;['28', '28', '29'];['29', '29', '28']
MIRANDA MAVERICK;MAYCEE BARBER;07/24/2021;['28', '28', '29'];['29', '29', '28']
BRANDON MORENO;KAI KARA-FRANCE;07/30/2022;['19', '18', '20'];['19', '20', '18']
CHEYANNE BUYS;GLORIA DE PAULA;07/31/2021;['-', '-', '-'];['-', '-', '-']
ALEXANDER VOLKANOVSKI;ILIA TOPURIA;02/17/2024;['10', '10', '10'];['9', '9', '9']
JEONG YEONG LEE;HYDER AMIL;07/20/2024;['-', '-', '-'];['-', '-', '-']
DA'MON BLACKSHEAR;MARIO BAUTISTA;08/19/2023;['28', '28', '27'];['29', '29', '30']
JAKE COLLIER;CHASE SHERMAN;01/15/2022;['-', '-'];['-', '-']
ANDRE PETROSKI;GERALD MEERSCHAERT;08/19/2023;['28', '29', '29'];['29', '28', '28']
MONTEL JACKSON;DA'MON BLACKSHEAR;07/13/2024;['-', '-', '-'];['-', '-', '-']
JAKE HADLEY;CAOLAN LOUGHRAN;07/27/2024;['29', '30', '30'];['28', '27', '27']
ALONZO MENIFIELD;WILLIAM KNIGHT;12/04/2021;['28', '28', '28'];['29', '29', '29']
JENNIFER MAIA;MANON FIOROT;03/26/2022;['27', '27', '27'];['30', '30', '30']
CLAY GUIDA;RAFA GARCIA;04/15/2023;['27', '27', '27'];['30', '30', '30']
ASKAR ASKAROV;KAI KARA-FRANCE;03/26/2022;['28', '28', '28'];['29', '29', '29']
ALEX PEREIRA;KHALIL ROUNTREE JR.;10/05/2024;['28', '28', '28'];['29', '29', '29']
MIRANDA MAVERICK;ERIN BLANCHFIELD;12/11/2021;['27', '27', '27'];['30', '30', '30']
KEVIN HOLLAND;SANTIAGO PONZINIBBIO;04/08/2023;['20', '20', '20'];['18', '18', '18']
RENATO MOICANO;BENOIT SAINT DENIS;09/28/2024;['19', '19', '19'];['18', '18', '18']
DANIEL PINEDA;TUCKER LUTZ;03/25/2023;['10', '10', '9'];['9', '9', '10']
TAFON NCHUKWI;AZAMAT MURZAKANOV;03/12/2022;['19', '19', '20'];['19', '19', '18']
SEAN O'MALLEY;MERAB DVALISHVILI;09/14/2024;['46', '47', '47'];['49', '48', '48']
ROB FONT;JOSE ALDO;12/04/2021;['45', '46', '45'];['50', '49', '50']
JULIO ARCE;DANIEL SANTOS;04/09/2022;['30', '29', '30'];['27', '28', '27']
