red_fighter_name;blue_fighter_name;date;red_fighter_total_pts;blue_fighter_total_pts
LUIGI VENDRAMINI;JESSIN AYARI;10/04/2020;['-', '-', '-'];['-', '-', '-']
ZUBAIRA TUKHUGOV;ELVES BRENER;02/12/2023;['28', '27', '29'];['29', '30', '28']
SANTIAGO PONZINIBBIO;MICHEL PEREIRA;05/21/2022;['28', '27', '29'];['29', '30', '28']
AJ FLETCHER;THEMBA GORIMBO;02/18/2023;['10', '10', '10'];['9', '9', '9']
ALI ALQAISI;TONY KELLEY;10/11/2020;['28', '27', '28'];['29', '30', '29']
JONATHAN MARTINEZ;ZVIAD LAZISHVILI;10/23/2021;['30', '29', '29'];['27', '28', '28']
GILBERT BURNS;NEIL MAGNY;01/21/2023;['3', '-', 'TOTA'];['TOTA', '-', 'WHITE JUDGE']
OMAR MORALES;UROS MEDIC;05/21/2022;['9', '10', '10'];['10', '9', '9']
DAVEY GRANT;LOUIS SMOLKA;05/14/2022;['19', '19', '20'];['19', '19', '18']
SABINA MAZO;MARIYA AGAPOVA;10/09/2021;['18', '18', '18'];['20', '20', '20']
DAVID DVORAK;STEVE ERCEG;06/10/2023;['28', '27', '28'];['29', '30', '29']
DAN IGE;NATE LANDWEHR;06/10/2023;['29', '29', '30'];['28', '28', '27']
MARC-ANDRE BARRIAULT;ERYK ANDERS;06/10/2023;['30', '30', '30'];['27', '27', '27']
DIANA BELBITA;MARIA OLIVEIRA;06/10/2023;['30', '30', '29'];['27', '27', '28']
RYAN SPANN;ION CUTELABA;05/14/2022;['-', 'FOTA'];['-', 'WHITE UDGE']
TIM ELLIOTT;MATHEUS NICOLAU;10/09/2021;['28', '28', '28'];['29', '29', '29']
LIVINHA SOUZA;RANDA MARKOS;10/23/2021;['28', '27', '27'];['29', '30', '30']
JAILTON ALMEIDA;PARKER PORTER;05/21/2022;['-', '-', '-'];['-', '-', '-']
DEIVESON FIGUEIREDO;BRANDON MORENO;01/21/2023;['27', '28', '28'];['29', '29', '29']
OVINCE SAINT PREUX;PHILIPE LINS;02/18/2023;['-', '-', '-'];['-', '-', '-']
GIGA CHIKADZE;OMAR MORALES;10/11/2020;['30', '30', '30'];['27', '27', '27']
ISRAEL ADESANYA;PAULO COSTA;09/27/2020;['10', '10', '10'];['9', '9', '9']
HOLLY HOLM;KETLEN VIEIRA;05/21/2022;['47', '47', '48'];['48', '48', '47']
SHANE YOUNG;BLAKE BILDER;02/12/2023;['27', '28', '27'];['30', '29', '30']
LOANA PINHEIRO;ANGELA HILL;05/18/2024;['9', '9', '9'];['10', '10', '10']
JENNIFER MAIA;VIVIANE ARAUJO;10/14/2023;['28', '28', '28'];['29', '29', '29']
TERRANCE MCKINNEY;BRENDON MAROTTE;10/14/2023;['-', '-', '-'];['-', '-', '-']
CHASE HOOPER;VIACHESLAV BORSHCHEV;05/11/2024;['10', '10', '10'];['8', '8', '8']
ABU AZAITAR;SEDRIQUES DUMAS;10/21/2023;['28', '28', '28'];['29', '29', '29']
CIRYL GANE;TAI TUIVASA;09/03/2022;['20', '20', '20'];['18', '18', '18']
RAFAEL ALVES;DAMIR ISMAGULOV;05/22/2021;['28', '28', '28'];['29', '29', '29']
JONATHAN PEARCE;DAVID ONAMA;04/27/2024;['28', '28', '28'];['29', '29', '29']
GUIDO CANNETTI;RANDY COSTA;10/01/2022;['-', '-', '-'];['-', '-', '-']
MIKE DAVIS;VIACHESLAV BORSHCHEV;10/01/2022;['29', '30', '30'];['28', '26', '26']
JIRI PROCHAZKA;ALEKSANDAR RAKIC;04/13/2024;['9', '9', '9'];['10', '10', '10']
MANON FIOROT;TABATHA RICCI;06/05/2021;['10', '10', '10'];['9', '9', '9']
DONALD CERRONE;ALEX MORONO;05/08/2021;['-', '-', '-'];['-', '-', '-']
IGOR SEVERINO;ANDRE LIMA;03/23/2024;['9', '9', '10'];['10', '10', '9']
SONG YADONG;CHRIS GUTIERREZ;12/09/2023;['50', '50', '50'];['44', '45', '45']
RENE ALDANA;KAROL ROSA;12/16/2023;['29', '29', '29'];['28', '28', '28']
DENNIS BUZUKJA;CONNOR MATTHEWS;03/30/2024;['20', '20', '20'];['18', '18', '18']
EDDIE WINELAND;JOHN CASTANEDA;02/20/2021;['-', '-', '-'];['-', '-', '-']
UROS MEDIC;MYKTYBEK OROLBAI;11/18/2023;['9', '10', '9'];['10', '9', '10']
KAMARU USMAN;GILBERT BURNS;02/13/2021;['19', '19', '19'];['19', '19', '19']
MARCIN PRACHNIO;IKE VILLANUEVA;06/26/2021;['9', '9', '9'];['10', '10', '10']
JOHN MAKDESSI;NASRAT HAQPARAST;09/03/2022;['27', '28', '27'];['30', '29', '30']
DIEGO LOPES;PAT SABATINI;11/11/2023;['-', '-', '-'];['-', '-', '-']
TREY OGDEN;NIKOLAS MOTTA;11/18/2023;['20', '19', '20'];['18', '19', '18']
PAULO COSTA;LUKE ROCKHOLD;08/20/2022;['30', '30', '30'];['27', '27', '27']
JOAQUIM SILVA;RICKY GLENN;06/19/2021;['-', '-', '-'];['-', '-', '-']
NIK LENTZ;MOVSAR EVLOEV;01/24/2021;['28', '29', '28'];['29', '28', '29']
MATT SCHNELL;TYSON NAM;01/20/2021;['29', '28', '29'];['28', '29', '28']
JENNIFER MAIA;JESSICA EYE;07/10/2021;['29', '30', '29'];['28', '27', '28']
MARC DIAKIESE;JOEL ALVAREZ;07/22/2023;['9', '9', '10'];['10', '10', '9']
MOHAMMAD YAHYA;KAUE FERNANDES;08/03/2024;['-', '-', '-'];['-', '-', '-']
DAMON JACKSON;CHEPE MARISCAL;08/10/2024;['26', '25', '25'];['30', '30', '30']
NATHANIEL WOOD;ANDRE FILI;07/22/2023;['29', '29', '29'];['28', '28', '28']
KAL KARA-ERANCE;STEVE ERCEG;08/18/2024;['-', '-', '-'];['-', '-', '-']
TAGIR ULANBEKOV;ALLAN NASCIMENTO;10/30/2021;['28', '29', '29'];['29', '28', '28']
MUHAMMAD MOKAEV;JAFEL FILHO;03/18/2023;['19', '20', '19'];['19', '18', '19']
ISMAEL BONFIM;BENOIT SAINT DENIS;07/01/2023;['-', '-', '-'];['-', '-', '-']
GINA MAZANY;SHANNA YOUNG;04/30/2022;['10', '10', '10'];['9', '9', '9']
KAMARU USMAN;COLBY COVINGTON;11/06/2021;['48', '48', '49'];['47', '47', '46']
JAN BLACHOWICZ;GLOVER TEIXEIRA;10/30/2021;['9', '9', '9'];['10', '10', '10']
DWIGHT GRANT;SERGEY KHANDOZHKO;04/23/2022;['10', '10', '10'];['9', '9', '9']
SHANNON ROSS;JESUS AGUILAR;07/08/2023;['-', '-', '-'];['-', '-', '-']
DEREK BRUNSON;DRICUS DU PLESSIS;03/04/2023;['10', '10', '10'];['9', '9', '9']
MICKEY GALL;MIKE MALOTT;04/09/2022;['-', '-', '-'];['-', '-', '-']
JESSICA PENNE;ELISE REED;10/19/2024;['28', '28', '28'];['29', '29', '29']
VITOR PETRINO;ANTON TURKALI;03/11/2023;['30', '30', '30'];['27', '27', '26']
MATEUSZ REBECKI;MYKTYBEK OROLBAI;10/26/2024;['29', '29', '28'];['28', '28', '29']
AUSTEN LANE;ROBELIS DESPAIGNE;10/19/2024;['29', '29', '29'];['28', '28', '28']
JULIAN MARQUEZ;MARC-ANDRE BARRIAULT;03/04/2023;['10', '10', '10'];['9', '9', '9']
KENNEDY NZECHUKWU;CHRIS BARNETT;10/26/2024;['-', '-', '-'];['-', '-', '-']
RAPHAEL ASSUNCAO;DAVEY GRANT;03/11/2023;['20', '19', '20'];['18', '19', '18']
CODY DURDEN;AORIQILENG;11/20/2021;['29', '29', '29'];['28', '28', '28']
MARC DIAKIESE;RAFAEL ALVES;11/13/2021;['-', '-', '-'];['-', '-', '-']
CLAY GUIDA;CLAUDIO PUELLES;04/23/2022;['-', '-', '-'];['-', '-', '-']
KEVIN LEE;RINAT FAKHRETDINOV;07/01/2023;['-', '-', '-'];['-', '-', '-']
SEAN STRICKLAND;ABUS MAGOMEDOV;07/01/2023;['9', '9', '9'];['10', '10', '10']
AORIQILENG;CAMERON ELSE;04/23/2022;['-', '-', '-'];['-', '-', '-']
MELSIK BAGHDASARYAN;BRUNO SOUZA;11/06/2021;['29', '29', '29'];['28', '28', '28']
TATSURO TAIRA;EDGAR CHAIREZ;07/08/2023;['29', '29', '29'];['27', '27', '27']
GURAM KUTATELADZE;JORDAN VUCENIC;08/03/2024;['29', '29', '29'];['28', '28', '28']
ODE OSBOURNE;CHARLES JOHNSON;02/25/2023;['28', '29', '29'];['29', '28', '28']
DAVEY GRANT;DANIEL MARCOS;07/22/2023;['29', '28', '28'];['28', '29', '29']
TOM ASPINALL;MARCIN TYBURA;07/22/2023;['-', '-', '-'];['-', '-', '-']
CHRIS GUTIERREZ;QUANG LE;08/10/2024;['29', '29', '29'];['28', '28', '28']
MOHAMMED USMAN;ZAC PAUGA;08/06/2022;['9', '10', '9'];['10', '9', '10']
MICHAEL CHIESA;NEIL MAGNY;01/20/2021;['49', '49', '49'];['46', '46', '46']
OMARI AKHMEDOV;TOM BREESE;01/20/2021;['10', '10', '10'];['9', '9', '9']
JESSICA ANDRADE;MACKENZIE DERN;11/11/2023;['10', '10', '9'];['9', '9', '10']
CHARLES JOURDAIN;NATHANIEL WOOD;09/03/2022;['28', '27', '27'];['29', '30', '30']
CHARLES ROSA;JUSTIN JAYNES;06/26/2021;['30', '28', '29'];['27', '29', '28']
ISRAEL ADESANYA;MARVIN VETTORI;06/12/2021;['50', '50', '50'];['45', '45', '45']
STEPHANIE EGGER;AILIN PEREZ;09/03/2022;['10', '10', '10'];['9', '9', '9']
JEKA SARAGIH;LUCAS ALEXANDER;11/18/2023;['-', '-', '-'];['-', '-', '-']
ANDREI ARLOVSKI;TOM ASPINALL;02/20/2021;['9', '9', '9'];['10', '10', '10']
NORMA DUMONT;GERMAINE DE RANDAMIE;04/06/2024;['29', '29', '29'];['28', '28', '28']
AIEMANN ZAHABI;DRAKO RODRIGUEZ;02/20/2021;['-', '-', '-'];['-', '-', '-']
CARLOS FELIPE;JAKE COLLIER;06/12/2021;['28', '29', '29'];['29', '28', '28']
NASRAT HAQPARAST;JAMIE MULLARKEY;12/09/2023;['-', '-', '-'];['-', '-', '-']
MARINA RODRIGUEZ;AMANDA RIBAS;01/24/2021;['9', '9', '9'];['10', '10', '10']
JARNO ERRENS;STEVEN NGUYEN;03/23/2024;['30', '30', '30'];['27', '27', '27']
VIRNA JANDIROBA;LOOPY GODINEZ;03/30/2024;['29', '30', '29'];['28', '27', '28']
CASEY O'NEILL;ARIANE LIPSKI;12/16/2023;['9', '9', '9'];['10', '10', '10']
JOANDERSON BRITO;LUCAS ALEXANDER;10/15/2022;['-', '-', '-'];['-', '-', '-']
KRZYSZTOF JOTKO;BRENDAN ALLEN;10/01/2022;['-', '-', '-'];['-', '-', '-']
RANI YAHYA;VICTOR HENRY;04/27/2024;['18', '17', '19'];['19', '20', '19']
TONY FERGUSON;BENEIL DARIUSH;05/15/2021;['27', '27', '27'];['30', '30', '30']
CLAUDIO PUELLES;JORDAN LEAVITT;06/05/2021;['29', '29', '29'];['28', '28', '28']
HOLLY HOLM;KAYLA HARRISON;04/13/2024;['9', '8', '8'];['10', '10', '10']
RAONL BARCELOS;TREVIN JONES;10/01/2022;['30', '30', '30'];['25', '27', '27']
MARINA RODRIGUEZ;YAN XIAONAN;03/05/2022;['29', '28', '29'];['28', '29', '28']
KAROLINA KOWALKIEWICZ;JASMIN LUCINDO;05/04/2024;['27', '27', '27'];['30', '30', '30']
ANDRE PETROSKI;MICHEL PEREIRA;10/14/2023;['-', '-', '-'];['-', '-', '-']
THEMBA GORIMBO;RAMIZ BRAHIMAJ;05/18/2024;['30', '30', '30'];['27', '27', '27']
ALEX CACERES;SEAN WOODSON;05/11/2024;['28', '28', '27'];['29', '29', '30']
GAVIN TUCKER;BILLY QUARANTILLO;12/12/2020;['30', '30', '30'];['27', '27', '27']
CHRIS GUTIERREZ;ALATENG HEILI;10/14/2023;['30', '30', '30'];['27', '27', '27']
JOE SOLECKI;JARED GORDON;10/02/2021;['29', '28', '28'];['28', '29', '29']
IMPA KASANGANAY;JOAQUIN BUCKLEY;10/11/2020;['9', '9', '9'];['10', '10', '10']
CLAYTON CARPENTER;JUAN CAMILO RONDEROS;02/18/2023;['-', '-', '-'];['-', '-', '-']
DERRICK LEWIS;SERGHEI SPIVAC;02/04/2023;['-', '-', '-'];['-', '-', '-']
CASEY KENNEY;HEILI ALATENG;10/04/2020;['30', '30', '30'];['25', '27', '26']
MACKENZIE DERN;MARINA RODRIGUEZ;10/09/2021;['46', '46', '46'];['49', '49', '49']
KATLYN CHOOKAGIAN;AMANDA RIBAS;05/14/2022;['28', '29', '29'];['29', '28', '28']
JONATHAN MARTINEZ;VINCE MORALES;05/21/2022;['30', '30', '30'];['27', '27', '27']
KHAMA WORTHY;JAI HERBERT;10/23/2021;['-', '-', '-'];['-', '-', '-']
JUNYONG PARK;JOHN PHILLIPS;10/18/2020;['30', '30', '30'];['25', '25', '25']
CARLOS HERNANDEZ;DENYS BONDAR;06/17/2023;['30', '29', '30'];['27', '28', '27']
KRZYSZTOF JOTKO;GERALD MEERSCHAERT;04/30/2022;['30', '30', '30'];['27', '27', '27']
MIKE MALOTT;ADAM FUGITT;06/10/2023;['10', '10', '10'];['9', '9', '9']
KYLE NELSON;BLAKE BILDER;06/10/2023;['30', '30', '29'];['27', '27', '28']
AIEMANN ZAHABI;AORIQI LENG;06/10/2023;['-', '-', '-'];['-', '-', '-']
CHARLES OLIVEIRA;BENEIL DARIUSH;06/10/2023;['-', '-', '-'];['-', '-', '-']
DARREN ELKINS;TRISTAN CONNELLY;04/30/2022;['30', '30', '30'];['27', '27', '27']
KYUNG HO KANG;CRISTIAN QUINONEZ;06/17/2023;['-', '-', '-'];['-', '-', '-']
CHASE HOOPER;FELIPE COLARES;05/21/2022;['19', '20', '19'];['19', '18', '19']
GILLIAN ROBERTSON;POLIANA BOTELHO;10/18/2020;['29', '29', '29'];['27', '27', '28']
JEFF MOLINA;DANIEL DA SILVA;10/23/2021;['10', '10', '10'];['9', '9', '9']
RANDY BROWN;JARED GOODEN;10/09/2021;['30', '30', '30'];['27', '27', '27']
FRANK CAMACHO;MANUEL TORRES;05/14/2022;['-', '-', '-'];['-', '-', '-']
DA WOON JUNG;DEVIN CLARK;02/04/2023;['27', '27', '27'];['30', '30', '30']
LOMA LOOKBOONMEE;JINH YU FREY;10/04/2020;['30', '30', '29'];['27', '27', '28']
CHRIS DAUKAUS;RODRIGO NASCIMENTO;10/11/2020;['-', '-', '-'];['-', '-', '-']
ANTONINA SHEVCHENKO;CASEY O'NEILL;10/02/2021;['9', '9', '9'];['10', '10', '10']
SLAM MAKACHEV;ALEXANDER;02/12/2023;['48', '49', '48'];['47', '46', '47']
RENATO MOICANO;RAFAEL FIZIEV;12/12/2020;['-', '-', '-'];['-', '-', '-']
DIEGO FERREIRA;MATEUSZ REBECKI;05/11/2024;['19', '19', '19'];['19', '19', '19']
RINA ALEKSEEVA;MELISSA DIXON;10/14/2023;['28', '27', '28'];['29', '30', '29']
JONATHAN MARTINEZ;ADRIAN YANEZ;10/14/2023;['10', '10', '10'];['9', '9', '9']
KHAOS WILLIAMS;CARLSTON HARRIS;05/18/2024;['-', '-', '-'];['-', '-', '-']
OVINCE SAINT PREUX;JAMAHAL HILL;12/05/2020;['9', '9', '9'];['10', '10', '10']
JACK SHORE;JOANDERSON BRITO;05/04/2024;['9', '9', '9'];['10', '10', '10']
MATT WIMAN;JORDAN LEAVITT;12/05/2020;['-', '-', '-'];['-', '-', '-']
SODIQ YUSUFF;DIEGO LOPES;04/13/2024;['-', '-', '-'];['-', '-', '-']
ROB FONT;CODY GARBRANDT;05/22/2021;['48', '50', '50'];['47', '45', '45']
SODIQ YUSUFF;DON SHAINIS;10/01/2022;['-', '-', '-'];['-', '-', '-']
JULIJA STOLIARENKO;CHELSEA CHANDLER;10/01/2022;['-', '-', '-'];['-', '-', '-']
MATT SCHNELL;ROGERIO BONTORIN;05/15/2021;['27', '28', '27'];['30', '29', '30']
AUSTIN HUBBARD;MICHAL FIGLAK;04/27/2024;['29', '29', '29'];['28', '28', '28']
PIERA RODRIGUEZ;SAM HUGHES;10/15/2022;['29', '29', '29'];['28', '28', '28']
NATE LANDWEHR;JAMALL EMMERS;03/30/2024;['-', '-', '-'];['-', '-', '-']
CODY GARBRANDT;BRIAN KELLEHER;12/16/2023;['-', '-', '-'];['-', '-', '-']
ANTHONY SMITH;KHALIL ROUNTREE JR.;12/09/2023;['18', '18', '18'];['20', '20', '20']
MILES JOHNS;CODY GIBSON;03/23/2024;['30', '30', '30'];['27', '27', '27']
ANDREW SANCHEZ;MAKHMUD MURADOV;01/24/2021;['18', '18', '19'];['20', '20', '19']
FARES ZIAM;LUIGL VENDRAMINI;06/12/2021;['29', '28', '29'];['28', '28', '28']
CHAS SKELLY;JAMALL EMMERS;02/20/2021;['-', '-', '-'];['-', '-', '-']
VALTER WALKER;LUKASZ BRZESKI;04/06/2024;['28', '28', '28'];['29', '29', '29']
PHIL HAWES;NASSOURDINE IMAVOV;02/20/2021;['29', '29', '28'];['28', '28', '28']
DEIVESON FIGUEIREDO;BRANDON MORENO;06/12/2021;['19', '18', '18'];['19', '20', '20']
LUCIE PUDILOVA;AILIN PEREZ;11/18/2023;['27', '28', '28'];['29', '29', '29']
KAMARU USMAN;LEON EDWARDS;08/20/2022;['39', '39', '39'];['37', '37', '37']
ABUS MAGOMEDOV;DUSTIN STOLTZFUS;09/03/2022;['-', '-', '-'];['-', '-', '-']
MATT FREVOLA;BENOIT SAINT DENIS;11/11/2023;['-', '-', '-'];['-', '-', '-']
YANCY MEDEIROS;DAMIR HADZOVIC;06/26/2021;['28', '28', '28'];['29', '29', '29']
RICKY SIMON;GAETANO PIRRELLO;01/20/2021;['10', '10', '10'];['9', '9', '9']
BROGAN WALKER;JULIANA MILLER;08/06/2022;['18', '18', '18'];['20', '20', '20']
WARLLEY ALVES;MOUNIR LAZZEZ;01/20/2021;['-', '-', '-'];['-', '-', '-']
MICHAEL CHIESA;KEVIN HOLLAND;07/29/2023;['-', '-', '-'];['-', '-', '-']
DANNY BARLOW;NIKOLAY VERETIENNIKOV;08/10/2024;['29', '27', '29'];['28', '30', '28']
SHAMIL GAZIEV;DON'TALE MAYES;08/03/2024;['30', '30', '30'];['27', '27', '27']
LERONE MURPHY;JOSH CULIBAO;07/22/2023;['30', '30', '30'];['26', '27', '26']
JORDAN LEAVITT;VICTOR MARTINEZ;02/25/2023;['-', '-', '-'];['-', '-', '-']
ROBBIE LAWLER;NIKO PRICE;07/08/2023;['-', '-', '-'];['-', '-', '-']
PRESTON PARSONS;EVAN ELDER;04/23/2022;['30', '30', '30'];['26', '27', '27']
DAMIR ISMAGULOV;GRANT DAWSON;07/01/2023;['26', '27', '27'];['30', '30', '30']
CJ VIEGARA;ODE OSBOURNE;11/06/2021;['28', '28', '28'];['29', '29', '29']
KENNEDY NZECHUKWU;DA-UN JUNG;11/13/2021;['-', '-', '-'];['-', '-', '-']
JOANDERSON BRITO;WESTIN WILSON;07/01/2023;['-', '-', '-'];['-', '-', '-']
MAYCEE BARBER;MONTANA DE LA ROSA;04/23/2022;['30', '30', '30'];['27', '27', '27']
SEDRIQUES DUMAS;JOSH FREMD;03/11/2023;['9', '9', '9'];['10', '10', '10']
FARID BASHARAT;VICTOR HUGO;10/26/2024;['30', '29', '29'];['27', '28', '28']
SHAYILAN NUERDANBIEKE;SEAN SORIANO;11/20/2021;['29', '29', '29'];['28', '28', '28']
IAN GARRY;SONG KENAN;03/04/2023;['19', '19', '19'];['19', '19', '19']
BRANDON ROYVAL;TATSURO TAIRA;10/12/2024;['47', '48', '48'];['48', '47', '47']
NATAN LEVY;MIKE BREEDEN;04/30/2022;['29', '29', '30'];['28', '28', '27']
ALEXANDR ROMANOV;BLAGOY IVANOV;07/01/2023;['30', '30', '30'];['27', '27', '27']
SHANE BURGOS;BILLY QUARANTILLO;11/06/2021;['29', '29', '29'];['28', '28', '28']
IAN GARRY;JORDAN WILLIAMS;11/06/2021;['-', '-', '-'];['-', '-', '-']
CAMERON SAAIMAN;TERRENCE MITCHELL;07/08/2023;['-', '-', '-'];['-', '-', '-']
CAIO BORRALHO;GADZHI OMARGADZHIEV;04/16/2022;['29', '29', '29'];['27', '27', '27']
JOSYLNE EDWARDS;TAMIRES VIDAL;10/19/2024;['20', '20', '20'];['18', '18', '18']
CODY GARBRANDT;TREVIN JONES;03/04/2023;['29', '29', '29'];['28', '28', '28']
CORTNEY CASEY;LIANA JOJUA;11/13/2021;['30', '30', '30'];['27', '27', '27']
ROB FONT;KYLER PHILLIPS;10/19/2024;['29', '29', '29'];['28', '28', '28']
CARLSTON HARRIS;JARED GOODEN;03/11/2023;['30', '30', '30'];['27', '27', '27']
MICK PARKIN;JAMAL POGUES;07/22/2023;['30', '30', '30'];['27', '27', '27']
MACKENZIE DERN;LOOPY GODINEZ;08/03/2024;['29', '29', '29'];['28', '28', '28']
KAROL ROSA;PANNIE KIANZAD;08/10/2024;['30', '30', '30'];['27', '27', '27']
LINA LANSBERG;MAYRA BUENO SILVA;02/18/2023;['9', '9', '6'];['10', '10', '10']
DUSTIN POIRIER;JUSTIN GAETHJE;07/29/2023;['10', '10', '9'];['9', '9', '10']
AUSTIN LINGO;MELQUIZAEL COSTA;07/15/2023;['26', '27', '27'];['30', '30', '30']
JULIAN EROSA;SEUNG WOO CHOI;06/19/2021;['-', '-', '-'];['-', '-', '-']
MATEUSZ;ROOSEVELT;11/11/2023;['-', '-', '-'];['-', '-', '-']
NASSOURDINE IMAVOV;JOAQUIN BUCKLEY;09/03/2022;['29', '30', '29'];['28', '27', '28']
TYSON PEDRO;HARRY HUNSUCKER;08/20/2022;['-', '-', '-'];['-', '-', '-']
CHAD ANHELIGER;JOSE JOHNSON;11/18/2023;['18', '18', '18'];['20', '20', '20']
JOSH PARISIAN;ROQUE MARTINEZ;06/19/2021;['29', '29', '28'];['28', '28', '29']
KHALIL ROUNTREE JR.;MARCIN PRACHNIO;01/24/2021;['28', '28', '28'];['29', '29', '29']
ANGELA HILL;LOOPY GODINEZ;08/13/2022;['29', '29', '29'];['28', '28', '28']
MIKE DAVIS;MASON JONES;01/20/2021;['29', '29', '29'];['28', '28', '28']
BILLY QUARANTILLO;YOUSSEF ZALAL;03/23/2024;['9', '9', '9'];['10', '10', '10']
SONG KENAN;KEVIN JOUSSET;12/09/2023;['27', '27', '27'];['30', '30', '30']
TONY FERGUSON;PADDY PIMBLETT;12/16/2023;['27', '27', '27'];['30', '30', '30']
MIKE RODRIGUEZ;DANILO MARQUES;02/06/2021;['9', '9', '9'];['10', '10', '10']
IBO ASLAN;ANTON TURKALJ;03/30/2024;['20', '20', '19'];['18', '18', '19']
CURTIS BLAYDES;DERRICK LEWIS;02/20/2021;['10', '10', '10'];['9', '9', '9']
MAKWAN AMIRKHANI;KAMUELA KIRK;06/05/2021;['28', '27', '28'];['29', '30', '29']
MAYCEE BARBER;ALEXA GRASSO;02/13/2021;['28', '28', '28'];['29', '29', '29']
BILL ALGEO;KYLE NELSON;03/30/2024;['-', '-', '-'];['-', '-', '-']
IVANA PETROVIC;LIANG NA;04/27/2024;['19', '19', '19'];['19', '18', '18']
DAVID DVORAK;JUAN CAMILO RONDEROS;05/22/2021;['-', '-', '-'];['-', '-', '-']
ANDRE FILI;BILL ALGEO;09/17/2022;['29', '28', '29'];['28', '29', '28']
MIKE JACKSON;PETE RODRIGUEZ;10/15/2022;['-', '-', '-'];['-', '-', '-']
RICARDO RAMOS;BILL ALGEO;05/22/2021;['30', '29', '30'];['27', '28', '27']
BO NICKAL;CODY BRUNDAGE;04/13/2024;['10', '10', '10'];['9', '9', '9']
MOHAMMAD MOKAEY;MALCOLM GORDON;10/23/2022;['20', '20', '20'];['18', '18', '18']
VICTOR MARTINE;TOM NOLAN;05/18/2024;['-', '-', '-'];['-', '-', '-']
GILLIAN ROBERTSON;TAILA SANTOS;12/19/2020;['26', '26', '28'];['30', '30', '29']
VIKTORIA DUDAKOVA;JINH YU FREY;10/21/2023;['29', '29', '29'];['28', '28', '28']
JOE PYFER;ABDUL RAZAK ALHASSAN;10/07/2023;['10', '10', '10'];['9', '9', '9']
VANESSA DEMOPOULOS;EMILY DUCOTE;05/18/2024;['28', '29', '29'];['29', '28', '28']
ARIANE DA SILVA;KARINE SILVA;04/27/2024;['28', '27', '28'];['29', '30', '29']
ILIA TOPURIA;DAMON JACKSON;12/05/2020;['-', '-', '-'];['-', '-', '-']
MICHAEL MORALES;TREVIN GILES;01/22/2022;['-', '-', '-'];['-', '-', '-']
TECIA TORRES;SAM HUGHES;12/12/2020;['10', '10', '10'];['9', '9', '9']
VIRNA JANDIROBA;ANGELA HILL;05/14/2022;['30', '30', '30'];['27', '27', '27']
YOUSSEF ZALAL;ILIA TOPURIA;10/11/2020;['28', '28', '28'];['29', '29', '29']
LOOPY GODINEZ;LUANA CAROLINA;10/16/2021;['28', '28', '28'];['29', '29', '29']
ANDREI ARLOVSKI;CARLOS FELIPE;10/16/2021;['29', '29', '29'];['28', '28', '28']
JOSEPH HOLMES;ALENA MEDOVSKI;05/21/2022;['-', '-', '-'];['-', '-', '-']
JIMMY CRUTE;ALONZO MENIFIELD;02/12/2023;['28', '29', '28'];['20', '28', '29']
TRACY CORTEZ;STEPHANIE EGGER;10/11/2020;['30', '30', '30'];['27', '27', '27']
DEQUAN TOWNSEND;DUSKO TODOROVIC;10/04/2020;['9', '9', '9'];['10', '10', '10']
JESSICA ANDRADE;CYNTHIA CALVILLO;09/25/2021;['-', '-'];['-', '-']
LOMA LOOKBOONMEE;ELISE REED;02/12/2023;['9', '9', '9'];['10', '10', '10']
TEREZA BLEDA;GABRIELLA FERNANDES;06/17/2023;['30', '30', '30'];['27', '27', '27']
KAI KARA-FRANCE;AMIR ALBAZI;06/03/2023;['47', '47', '48'];['48', '48', '47']
BLAGOY IVANOV;MARCOS ROGERIO DE LIMA;05/07/2022;['29', '29', '29'];['28', '28', '28']
TREVOR PEEK;CHEPE MARISCAL;06/24/2023;['27', '27', '27'];['30', '30', '30']
JAMALL EMMERS;JACK JENKINS;06/24/2023;['28', '30', '28'];['29', '27', '29']
CARLOS ULBERG;FABIO CHERANT;02/12/2022;['30', '30', '30'];['27', '27', '27']
ANDRE FIALHO;CAMERON VANCAMP;05/07/2022;['-', '-', '-'];['-', '-', '-']
ALEX CACERES;DANIEL PINEDA;06/03/2023;['29', '29', '29'];['28', '28', '28']
DAN ARGUETA;RONNIE LAWRENCE;06/17/2023;['-', '-', '-'];['-', '-', '-']
CURTIS BLAYDES;JAIRZINHO ROZENSTRUIK;09/25/2021;['30', '30', '30'];['27', '27', '27']
CARLOS CONDIT;COURT MCGEE;10/04/2020;['30', '30', '30'];['27', '27', '27']
JACK JENKINS;DON SHAINIS;02/12/2023;['30', '30', '29'];['27', '27', '28']
JUSTIN TAFA;PARKER PORTER;02/12/2023;['-', '-', '-'];['-', '-', '-']
BRUNO SILVA;TAGIR ULANBEKOV;10/11/2020;['28', '27', '28'];['29', '30', '29']
ASPEN LADD;NORMA DUMONT;10/16/2021;['46', '46', '47'];['49', '49', '48']
ERYK ANDERS;JUNYONG PARK;05/21/2022;['29', '28', '28'];['28', '29', '29']
MICHAEL JOHNSON;ALAN PATRICK;05/14/2022;['10', '10', '10'];['9', '9', '9']
DANNY ROBERTS;RAMAZAN EMEEV;10/16/2021;['28', '30', '29'];['29', '27', '28']
TOM BREESE;KB BHULLAR;10/11/2020;['-', '-', '-'];['-', '-', '-']
CHASE HOOPER;PETER BARRETT;12/12/2020;['18', '19', '18'];['20', '19', '20']
