red_fighter_name;blue_fighter_name;event_date
ALEJANDRO PEREZ;JONATHAN MARTINEZ;26/02/2022
RAMIZ BRAHIMAJ;MICHEAL GILLMORE;26/02/2022
VICTOR ALTAMIRANO;CARLOS HERNANDEZ;26/02/2022
JOHNNY WALKER;JAMAHAL HILL;19/02/2022
KYLE DAUKAUS;JAMIE PICKETT;19/02/2022
PARKER PORTER;ALAN BAUDOT;19/02/2022
JIM MILLER;NIKOLAS MOTTA;19/02/2022
JOAQUIN BUCKLEY;ABDUL RAZAK ALHASSAN;19/02/2022
GABRIEL BENITEZ;DAVID ONAMA;19/02/2022
JESSICA-ROSE CLARK;STEPHANIE EGGER;19/02/2022
CHAS SKELLY;MARK STRIEGL;19/02/2022
DIANA BELBITA;GLORIA DE PAULA;19/02/2022
CHAD ANHELIGER;JESSE STRADER;19/02/2022
JONATHAN PEARCE;CHRISTIAN RODRIGUEZ;19/02/2022
MARIO BAUTISTA;JAY PERRIN;19/02/2022
KING GREEN;NASRAT HAQPARAST;12/02/2022
KYLER PHILLIPS;MARCELO ROJO;12/02/2022
AJ DOBSON;JACOB MALKOUN;12/02/2022
JEREMIAH WELLS;BLOOD DIAMOND;12/02/2022
WILLIAM KNIGHT;MAXIM GRISHIN;12/02/2022
JACK HERMANSSON;SEAN STRICKLAND;05/02/2022
PUNAHELE SORIANO;NICK MAXIMOV;05/02/2022
SHAVKAT RAKHMONOV;CARLSTON HARRIS;05/02/2022
SAM ALVEY;BRENDAN ALLEN;05/02/2022
TRESEAN GORE;BRYAN BATTLE;05/02/2022
JULIAN EROSA;STEVEN PETERSON;05/02/2022
MILES JOHNS;JOHN CASTANEDA;05/02/2022
HAKEEM DAWODU;MICHAEL TRIZANO;05/02/2022
CHIDI NJOKUANI;MARC-ANDRE BARRIAULT;05/02/2022
ALEXIS DAVIS;JULIJA STOLIARENKO;05/02/2022
JAILTON ALMEIDA;DANILO MARQUES;05/02/2022
JASON WITT;PHIL ROWE;05/02/2022
MALCOLM GORDON;DENYS BONDAR;05/02/2022
MICHEL PEREIRA;ANDRE FIALHO;22/01/2022
RAONI BARCELOS;VICTOR HENRY;22/01/2022
KATLYN CERMINARA;JENNIFER MAIA;15/01/2022
DERRICK LEWIS;CHRIS DAUKAUS;18/12/2021
AMANDA LEMOS;ANGELA HILL;18/12/2021
CUB SWANSON;DARREN ELKINS;18/12/2021
DUSTIN STOLTZFUS;GERALD MEERSCHAERT;18/12/2021
JUSTIN TAFA;HARRY HUNSUCKER;18/12/2021
DON'TALE MAYES;JOSH PARISIAN;18/12/2021
JORDAN LEAVITT;MATT SAYLES;18/12/2021
CHARLES OLIVEIRA;DUSTIN POIRIER;11/12/2021
KAI KARA-FRANCE;CODY GARBRANDT;11/12/2021
LOUIS SMOLKA;VINCE MORALES;04/12/2021
KENNEDY NZECHUKWU;DA WOON JUNG;13/11/2021
AL IAQUINTA;KING GREEN;06/11/2021
EDMEN SHAHBAZYAN;NASSOURDINE IMAVOV;06/11/2021
IAN MACHADO GARRY;JORDAN WILLIAMS;06/11/2021
CJ VERGARA;ODE OSBOURNE;06/11/2021
ALEX CACERES;SEUNGWOO CHOI;23/10/2021
JEFF MOLINA;DANIEL LACERDA;23/10/2021
BATGEREL DANAA;BRANDON DAVIS;16/10/2021
VALENTINA SHEVCHENKO;LAUREN MURPHY;25/09/2021
ROXANNE MODAFFERI;TAILA SANTOS;25/09/2021
ARIANE DA SILVA;MANDY BOHM;18/09/2021
RONGZHU;BRANDON JENKINS;18/09/2021
PADDY PIMBLETT;LUIGI VENDRAMINI;04/09/2021
MOLLY MCCANN;JI YEON KIM;04/09/2021
BRYAN BATTLE;GILBERT URBINA;28/08/2021
RICKY TURCIOS;BRADY HIESTAND;28/08/2021
TECIA PENNINGTON;ANGELA HILL;07/08/2021
SONG YADONG;CASEY KENNEY;07/08/2021
KING GREEN;RAFAEL FIZIEV;07/08/2021
MANEL KAPE;ODE OSBOURNE;07/08/2021
MILES JOHNS;ANDERSON DOS SANTOS;07/08/2021
JOHNNY MUNOZ;JAMEY SIMMONS;07/08/2021
